-42 52 1 1448
-24 50 -2 17652
-28 -42 4 0
-44 11 -2 376
60 20 0 5667
-38 -39 -1 1451
-26 17 0 4
-11 37 3 175
45 35 -1 15152
-50 -30 2 0
4 -25 1 103
-24 30 -2 839
49 13 4 0
-7 42 -3 175
60 24 -4 5667
31 53 -1 0
40 -34 -4 6068
-3 18 -1 0
34 -37 4 19907
-9 -47 1 5156
-9 -12 3 145
4 -50 1 13027
-26 -58 3 0
-42 -58 2 7283
69 -5 4 0
-53 7 3 957
-3 11 4 0
-49 -43 4 231
-13 -57 4 4069
-6 64 3 1001
-5 -16 -4 6951
-3 4 4 0
10 41 -2 1
-62 12 -1 1916
-64 29 2 3890
14 -3 0 0
18 29 -2 1699
34 55 4 3048
-4 -23 -1 593
-40 -67 3 7283
-4 8 2 202
-46 -4 -1 376
-8 52 0 840
40 -38 -3 171
-21 -64 -2 902
-29 22 4 3418
-37 46 -1 1448
-5 -39 -4 0
1 74 1 8866
-48 -56 -1 5251
-9 6 3 19
33 21 -1 0
-8 61 3 5151
-8 15 -3 56
-49 4 -2 53793
-6 -63 -2 11650
-48 -5 2 1356
-2 37 3 175
-33 5 1 0
-25 -52 4 538
-9 -35 2 1920
57 43 4 0
17 -13 -4 23565
-13 -41 3 10008
-66 27 3 3890
-49 8 -1 1916
16 31 1 1
52 -45 -3 2368
-2 56 3 175
-5 -1 -2 327
-7 12 4 1774
-27 -36 1 162
-45 -2 1 1356
11 28 3 0
-15 57 2 1001
22 52 4 3048
16 -36 -4 8593
43 17 -4 0
-11 11 3 0
-28 -6 -1 0
-37 -59 -3 27013
2 28 1 0
65 -2 1 0
-58 3 -4 1392
-36 -68 -1 1412
63 -21 -1 0
20 55 3 3048
-11 -37 -2 8881
60 -26 3 0
-23 6 -2 3688
-12 56 0 1001
-3 -5 1 0
6 9 0 1
0 -15 -2 0
57 6 0 0
-16 23 -1 0
-63 36 2 601
28 31 -3 141
-14 18 4 18328
10 6 4 0
-20 -76 2 0
6 55 4 175
-62 -14 -1 9234
13 -68 -2 2661
-3 -46 -4 14776
-28 31 2 1448
-34 68 3 5230
23 -11 -2 171
31 -48 -2 38
-14 36 1 175
36 -3 1 0
-18 -51 4 4180
-11 -48 1 407
-55 18 -3 1916
-63 -30 -3 1816
37 50 -1 0
-34 23 2 6835
50 10 -1 0
-37 -3 2 0
33 6 4 2499
-56 27 -1 601
11 49 -2 1
29 23 -3 0
-33 -48 1 162
-2 53 2 1001
29 -10 3 0
-66 -27 3 5661
64 -2 4 0
40 -16 3 0
-2 14 -1 84
2 31 3 1
0 -32 0 14397
-60 9 1 6881
31 -54 3 58
-52 -20 -3 7161
38 -21 -1 6107
4 -56 -2 0
-74 16 -1 1916
-11 14 2 0
41 -41 -2 38
-38 47 4 164
8 56 -2 5375
-9 66 2 8866
22 60 1 53396
-67 -32 4 1816
-10 -51 -2 12487
-52 21 -4 10486
-18 -5 -4 0
-52 -54 3 1451
2 62 -4 17203
-54 -25 -3 6719
58 1 2 0
-20 42 -1 175
30 11 -2 0
-31 -62 3 0
46 52 -2 0
-30 -24 4 0
8 52 0 5375
-60 -5 -1 11958
-20 -52 -3 902
59 -1 1 6353
